Geography,year,variable_name,variable,estimate,moe
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,31054,2342
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,24344,2342
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,21623,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,17842,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,14495,1150
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,4922,1161
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,6334,1042
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,3734,854
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,3999,825
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,7073,972
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,5480,770
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,3133,727
"Hudson County, New Jersey",2006,Estimate!!Total!!Male!!85 years and over,B01001_025,2487,586
"Hudson County, New Jersey",2006,Estimate!!Total!!Female,B01001_026,302893,427
"Hudson County, New Jersey",2006,Estimate!!Total!!Female!!Under 5 years,B01001_027,20224,0
"Hudson County, New Jersey",2006,Estimate!!Total!!Female!!5 to 9 years,B01001_028,14507,1807
"Hudson County, New Jersey",2006,Estimate!!Total!!Female!!10 to 14 years,B01001_029,20546,1806
"Hunterdon County, New Jersey",2006,Estimate!!Total,B01001_001,130783,0
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male,B01001_002,64852,453
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!Under 5 years,B01001_003,3438,271
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!5 to 9 years,B01001_004,3980,621
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!10 to 14 years,B01001_005,5275,740
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!15 to 17 years,B01001_006,2858,128
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!18 and 19 years,B01001_007,1724,435
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!20 years,B01001_008,902,433
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!21 years,B01001_009,762,359
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!22 to 24 years,B01001_010,2729,684
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!25 to 29 years,B01001_011,2730,539
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!30 to 34 years,B01001_012,2882,238
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!35 to 39 years,B01001_013,4566,794
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!40 to 44 years,B01001_014,5355,752
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!45 to 49 years,B01001_015,6366,345
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!50 to 54 years,B01001_016,6030,331
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!55 to 59 years,B01001_017,5239,719
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!60 and 61 years,B01001_018,960,351
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!62 to 64 years,B01001_019,2454,647
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!65 and 66 years,B01001_020,1178,508
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!67 to 69 years,B01001_021,1163,406
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!70 to 74 years,B01001_022,1736,500
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!75 to 79 years,B01001_023,777,327
"Hunterdon County, New Jersey",2006,Estimate!!Total!!Male!!80 to 84 years,B01001_024,1162,328
